Region,Year,LifeExpectancy
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
,2000,
The Americas,2000,71.88461539
The Americas,2001,72.16666667
The Americas,2002,72.51219512
The Americas,2003,72.66666667
The Americas,2004,72.96153846
The Americas,2005,73.15384615
The Americas,2006,73.35
The Americas,2007,73.65853659
The Americas,2008,73.91463415
The Americas,2009,74.08536585
The Americas,2010,74.19230769
The Americas,2011,74.56410256
The Americas,2012,74.68421053
Oceania,2000,69.75
Oceania,2001,70.23076923
Oceania,2002,70.53846154
Oceania,2003,70.96153846
Oceania,2004,71.19230769
Oceania,2005,71.42307692
Oceania,2006,71.76923077
Oceania,2007,71.92307692
Oceania,2008,72.15384615
Oceania,2009,72.42307692
Oceania,2010,72.5
Oceania,2011,72.76923077
Oceania,2012,72.84615385
Middle East,2000,72.57692308
Middle East,2001,72.92307692
Middle East,2002,73.11538462
Middle East,2003,73.38461539
Middle East,2004,73.5
Middle East,2005,73.73076923
Middle East,2006,74.26923077
Middle East,2007,74.42307692
Middle East,2008,74.23076923
Middle East,2009,74.46153846
Middle East,2010,74.65384615
Middle East,2011,74.80769231
Middle East,2012,75.03846154
Europe,2000,75.03333333
Europe,2001,75.43333333
Europe,2002,75.59782609
Europe,2003,75.76666667
Europe,2004,76.14444444
Europe,2005,76.22222222
Europe,2006,76.5
Europe,2007,76.7
Europe,2008,77.02222222
Europe,2009,77.32222222
Europe,2010,77.64444444
Europe,2011,78.01111111
Europe,2012,78.15909091
Asia,2000,68.10294118
Asia,2001,68.51470588
Asia,2002,68.92647059
Asia,2003,69.30882353
Asia,2004,69.66176471
Asia,2005,70.02941177
Asia,2006,70.33823529
Asia,2007,70.58823529
Asia,2008,70.86764706
Asia,2009,71.26470588
Asia,2010,71.45588235
Asia,2011,71.70588235
Asia,2012,72.04411765
Africa,2000,53.39423077
Africa,2001,53.55769231
Africa,2002,54.19811321
Africa,2003,54.40566038
Africa,2004,54.80188679
Africa,2005,55.22641509
Africa,2006,55.78301887
Africa,2007,56.31132076
Africa,2008,56.86792453
Africa,2009,57.40566038
Africa,2010,57.9245283
Africa,2011,58.33962264
Africa,2012,58.83962264
