Country,GDP,Health Exp % GDP,HealthExpPerCapita,Life Expectancy Female,Life Expectancy Male,Population Total,Region,Year,LifeExpectancy
Algeria,2.04331E+11,0.052,279,73,69,38481705,Africa,12/1/2012,71
Angola,1.15332E+11,0.035,190,53,50,20820525,Africa,12/1/2012,51.5
Benin,7543183759,0.045,33,61,58,10050702,Africa,12/1/2012,59.5
Botswana,14537490553,0.053,384,46,48,2003910,Africa,12/1/2012,47
Burkina Faso,10726305450,0.062,38,56,55,16460141,Africa,12/1/2012,55.5
Burundi,2472384813,0.081,20,56,52,9849569,Africa,12/1/2012,54
Cameroon,26472637887,0.051,59,56,54,21699631,Africa,12/1/2012,55
Central African Republic,2169706411,0.038,18,51,48,4525209,Africa,12/1/2012,49.5
Chad,12887072082,0.028,25,52,50,12448175,Africa,12/1/2012,51
Comoros,595898770,0.045,38,62,59,717503,Africa,12/1/2012,60.5
"Congo, Dem. Rep.",27452795398,0.056,15,51,48,65705093,Africa,12/1/2012,49.5
"Congo, Rep.",13677929162,0.032,100,60,57,4337051,Africa,12/1/2012,58.5
Cote d'Ivoire,24680372724,0.071,88,51,50,19839750,Africa,12/1/2012,50.5
Djibouti,1353632942,0.088,129,63,60,859652,Africa,12/1/2012,61.5
"Egypt, Arab Rep.",2.62832E+11,0.05,152,73,69,80721874,Africa,12/1/2012,71
Equatorial Guinea,16486743747,0.047,1138,54,51,736296,Africa,12/1/2012,52.5
Eritrea,3091967480,0.026,15,65,60,6130922,Africa,12/1/2012,62.5
Ethiopia,42805215879,0.038,18,65,61,91728849,Africa,12/1/2012,63
Gabon,17843815459,0.035,397,64,62,1632572,Africa,12/1/2012,63
"Gambia, The",914109100,0.05,26,60,57,1791225,Africa,12/1/2012,58.5
Ghana,41740897827,0.052,83,62,60,25366462,Africa,12/1/2012,61
Guinea,5651088170,0.063,32,57,55,11451273,Africa,12/1/2012,56
Guinea-Bissau,822320638,0.059,30,56,53,1663558,Africa,12/1/2012,54.5
Kenya,40264403585,0.047,45,63,59,43178141,Africa,12/1/2012,61
Lesotho,2328196275,0.116,138,49,49,2051545,Africa,12/1/2012,49
Liberia,1733828405,0.155,65,61,59,4190435,Africa,12/1/2012,60
Libya,81873662519,0.039,578,77,73,6154623,Africa,12/1/2012,75
Madagascar,9880703883,0.041,18,66,63,22293914,Africa,12/1/2012,64.5
Malawi,4240492849,0.092,25,55,55,15906483,Africa,12/1/2012,55
Mali,10340794110,0.058,42,54,55,14853572,Africa,12/1/2012,54.5
Mauritania,3958701369,0.064,52,63,60,3796141,Africa,12/1/2012,61.5
Mauritius,11442063228,0.048,444,77,70,1291167,Africa,12/1/2012,73.5
Morocco,95981572517,0.064,190,72,69,32521143,Africa,12/1/2012,70.5
Mozambique,14376457305,0.064,37,51,49,25203395,Africa,12/1/2012,50
Namibia,13399386550,0.083,473,67,61,2259393,Africa,12/1/2012,64
Niger,6773185511,0.072,25,58,58,17157042,Africa,12/1/2012,58
Nigeria,4.62979E+11,0.061,94,52,52,168833776,Africa,12/1/2012,52
Rwanda,7133378888,0.107,66,65,62,11457801,Africa,12/1/2012,63.5
Sao Tome and Principe,263328450,0.079,109,68,64,188098,Africa,12/1/2012,66
Senegal,14045680427,0.05,51,65,62,13726021,Africa,12/1/2012,63.5
Seychelles,1032199341,0.047,521,78,68,88303,Africa,12/1/2012,73
Sierra Leone,3787392596,0.151,96,46,45,5978727,Africa,12/1/2012,45.5
Somalia,,,,56,53,10195134,Africa,12/1/2012,54.5
South Africa,3.82338E+11,0.088,645,58,54,52274945,Africa,12/1/2012,56
South Sudan,10560000000,0.026,27,56,54,10837527,Africa,12/1/2012,55
Sudan,63029562337,0.072,115,64,60,37195349,Africa,12/1/2012,62
Swaziland,4049589166,0.085,259,48,49,1230985,Africa,12/1/2012,48.5
